고객이름,증권사,계좌번호,계좌명,ISIN,현재가,보유수량
류영길,디셈버증권,5736692368320,계좌1,KR7360750004,8585,21
류영길,디셈버증권,5736692368320,계좌1,KR7133690008,14459,13
류영길,디셈버증권,5736692368320,계좌1,KR7203780002,12707,12
류영길,디셈버증권,5736692368320,계좌1,KR7200020006,7195,8
류영길,디셈버증권,5736692368320,계좌1,KR7251350005,14210,7
류영길,디셈버증권,5736692368320,계좌1,KR7241180009,12872,22
류영길,디셈버증권,5736692368320,계좌1,KR7245710009,6738,24
류영길,디셈버증권,5736692368320,계좌1,KR7195980008,14173,15
류영길,디셈버증권,5736692368320,계좌1,KR7195980002,6130,1
류영길,디셈버증권,5736692368320,계좌1,KR7261220008,13458,21
류영길,디셈버증권,5736692368320,계좌1,KR7130680002,4912,21
류영길,디셈버증권,5736692368320,계좌1,KR7153130000,8399,18
류영길,디셈버증권,5736692368320,계좌1,KR7332620004,2049,13
류영길,디셈버증권,5736692368320,계좌1,CASH,24269,1
권상호,핀트투자증권,1573538006848,계좌2,KR7360750004,9111,23
권상호,핀트투자증권,1573538006848,계좌2,KR7133690008,9024,15
권상호,핀트투자증권,1573538006848,계좌2,KR7203780002,2761,17
권상호,핀트투자증권,1573538006848,계좌2,KR7200020006,12179,22
권상호,핀트투자증권,1573538006848,계좌2,KR7251350005,12788,24
권상호,핀트투자증권,1573538006848,계좌2,KR7241180009,3551,19
권상호,핀트투자증권,1573538006848,계좌2,KR7245710009,1200,24
권상호,핀트투자증권,1573538006848,계좌2,KR7195980008,9006,5
권상호,핀트투자증권,1573538006848,계좌2,KR7195980002,13517,20
권상호,핀트투자증권,1573538006848,계좌2,KR7261220008,9752,14
권상호,핀트투자증권,1573538006848,계좌2,KR7130680002,1267,18
권상호,핀트투자증권,1573538006848,계좌2,KR7153130000,12347,11
권상호,핀트투자증권,1573538006848,계좌2,KR7332620004,8265,6
권상호,핀트투자증권,1573538006848,계좌2,CASH,21297,1
배성진,베스트투자,8699709932280,계좌3,KR7360750004,12339,18
배성진,베스트투자,8699709932280,계좌3,KR7133690008,7033,8
